Country,C Television,C Police,C Courts,C Government,C Political parties,C Civil services,C Elections,Importance of democracy,Highest educational level,Age,Scale of incomes,Sex,Strong Leader,Expert Non Govt Person,Signing a petition,Joining unofficial strikes
20,2,3,3,3,3,3,3,10,6,49.0,,1,1,1,3,3
20,2,2,2,2,3,2,3,10,1,41.0,5,2,1,1,2,2
20,2,2,3,2,4,3,2,10,2,34.0,6,1,1,2,2,3
20,2,4,4,4,4,4,4,10,1,56.0,2,1,1,2,2,3
20,3,3,3,3,4,3,3,10,1,44.0,4,1,1,1,3,3
20,2,2,2,2,4,3,3,8,1,59.0,,1,2,2,2,3
20,4,3,3,3,4,4,3,10,2,47.0,4,1,1,1,2,2
20,3,4,4,4,4,4,4,10,2,52.0,4,1,1,1,3,3
20,2,2,3,2,3,2,3,2,6,30.0,,1,1,1,3,3
20,3,3,3,3,4,3,3,2,6,29.0,,2,1,1,2,3
20,4,4,4,4,4,3,3,10,3,36.0,5,1,2,2,3,3
20,2,3,4,3,4,2,3,7,1,50.0,3,2,2,1,2,3
20,2,3,4,3,4,3,3,9,3,62.0,3,1,2,2,2,3
20,2,3,3,3,4,3,3,10,2,42.0,4,1,2,2,3,3
20,3,4,3,3,4,3,3,10,1,28.0,,2,1,1,2,3
20,3,3,3,3,4,3,3,9,4,38.0,,1,1,,3,3
20,2,3,3,2,4,2,3,5,4,48.0,,1,1,1,2,3
20,2,2,2,2,4,2,4,6,1,34.0,4,2,2,2,2,3
20,2,2,3,3,3,2,2,10,2,33.0,,2,2,2,3,3
20,2,4,4,3,3,3,3,10,1,45.0,5,1,1,1,3,3
20,2,2,2,3,4,2,2,10,2,42.0,5,1,1,2,2,3
20,2,3,3,3,3,3,3,10,2,50.0,,1,1,1,3,3
20,3,4,4,4,4,4,4,9,2,30.0,5,2,1,4,2,2
20,2,3,3,3,4,3,2,10,7,51.0,4,2,1,,3,3
20,3,4,4,3,4,2,2,7,6,68.0,,1,4,4,3,3
20,3,3,2,2,3,2,3,10,2,33.0,,2,1,1,2,3
20,2,3,3,3,3,3,2,10,3,47.0,,1,3,2,2,2
20,2,2,2,2,4,2,2,10,1,58.0,,2,1,4,3,3
20,2,4,4,4,4,4,3,8,6,46.0,,2,2,,2,3
20,2,2,2,2,4,3,3,5,1,58.0,6,1,1,2,2,2
20,2,2,2,2,3,3,2,10,5,41.0,,2,2,2,1,3
20,3,3,3,3,4,4,2,10,1,56.0,,1,1,1,2,2
20,2,2,2,3,3,2,3,10,2,30.0,,2,2,,2,3
20,2,2,2,2,3,2,2,10,3,62.0,6,2,1,,3,3
20,4,4,4,4,4,4,4,10,1,41.0,5,1,4,2,1,1
20,3,2,2,2,4,4,,9,5,39.0,2,2,4,2,3,3
20,2,1,1,1,1,1,1,10,3,47.0,5,1,4,1,1,3
20,3,1,3,1,1,2,1,10,2,71.0,4,1,4,4,3,3
20,4,3,3,3,4,3,3,10,0,79.0,5,2,4,2,3,3
20,4,4,4,3,3,2,3,10,6,34.0,8,1,4,2,1,2
20,2,2,2,2,3,2,3,10,3,50.0,5,1,3,1,2,3
20,4,3,4,4,4,4,1,8,1,62.0,6,2,3,1,1,3
20,3,1,1,4,4,2,1,10,1,60.0,5,1,4,4,1,2
20,3,1,1,1,4,1,,10,3,90.0,6,2,4,1,2,3
20,3,2,2,2,3,2,2,10,1,44.0,5,1,4,2,1,1
20,3,1,3,3,4,3,4,8,5,50.0,4,2,4,2,1,3
20,1,1,1,1,1,1,4,10,3,34.0,6,2,4,1,1,3
20,3,1,1,1,2,2,2,10,3,69.0,5,2,4,2,1,2
20,3,3,3,3,3,3,3,10,4,30.0,3,1,4,2,1,2
20,3,2,3,3,4,2,2,10,3,33.0,6,1,4,2,2,2
20,3,3,3,3,4,3,3,10,1,65.0,2,2,3,2,3,3
20,2,2,2,2,2,2,3,10,1,61.0,6,1,4,1,3,2
20,3,1,1,1,2,2,1,9,6,59.0,3,2,4,4,1,1
20,3,2,2,3,3,2,2,10,7,33.0,5,1,4,2,1,1
20,1,1,1,1,4,3,4,8,3,50.0,5,1,4,1,2,3
20,3,2,3,3,3,3,3,10,6,39.0,7,2,4,4,1,2
20,2,1,1,1,1,1,1,1,1,48.0,2,2,3,2,3,3
20,3,1,1,1,1,1,4,10,6,36.0,2,1,4,2,1,3
20,3,1,1,1,3,1,1,10,3,71.0,5,1,4,2,2,2
20,4,1,3,1,1,1,1,10,1,47.0,6,1,4,4,1,3
20,3,2,4,2,4,3,2,10,6,39.0,6,2,4,1,1,2
20,2,2,2,2,3,2,3,8,2,65.0,3,1,3,3,3,2
20,3,2,2,2,3,2,3,10,7,39.0,7,1,4,2,1,2
20,2,2,2,2,3,3,2,10,5,42.0,5,2,4,4,3,3
20,2,2,2,2,2,3,2,10,5,39.0,5,1,4,4,1,3
20,3,2,3,3,4,4,4,10,7,43.0,6,1,4,3,1,3
20,2,2,2,2,2,2,2,8,6,40.0,6,2,4,3,1,1
20,3,2,2,2,3,2,2,8,5,23.0,8,1,4,4,1,2
20,3,1,2,3,3,2,2,8,5,20.0,8,1,4,4,1,2
20,2,2,4,4,4,3,3,9,7,59.0,5,1,4,2,2,2
20,2,1,1,1,2,1,2,10,3,65.0,2,1,3,2,2,3
20,3,2,3,3,4,3,4,6,2,37.0,3,2,3,2,1,3
20,3,3,3,3,3,3,3,10,6,53.0,2,2,1,2,3,3
20,4,3,4,3,3,4,2,10,7,56.0,4,2,3,3,1,3
20,3,2,3,3,3,3,3,8,6,39.0,3,2,3,3,1,3
20,3,3,3,3,3,3,2,8,6,74.0,7,1,3,2,2,3
20,3,2,2,2,3,2,2,10,6,69.0,7,1,4,3,1,2
20,3,3,2,3,3,3,3,10,4,58.0,4,1,4,4,1,2
20,2,,,2,,3,,10,1,78.0,2,2,4,3,1,3
20,3,1,3,2,3,2,4,10,7,41.0,7,2,4,2,1,1
20,3,2,4,3,3,3,,8,1,66.0,5,2,,2,3,3
20,3,1,1,2,2,2,2,10,7,47.0,7,1,1,1,1,3
20,2,1,3,4,4,4,1,7,6,24.0,5,1,4,1,1,2
20,2,2,2,3,3,3,2,3,1,64.0,4,1,3,2,3,2
20,3,2,2,2,2,3,3,10,3,32.0,4,2,2,2,1,2
20,4,2,2,2,4,2,2,10,1,68.0,3,2,2,2,3,3
20,2,2,2,3,3,2,3,10,5,26.0,6,2,4,2,1,2
20,3,2,2,2,3,2,2,6,2,59.0,6,1,1,1,3,3
20,2,2,3,2,3,2,4,10,3,34.0,6,2,2,2,2,3
20,4,2,3,3,3,2,2,8,1,73.0,4,2,3,3,1,2
20,3,2,2,3,3,2,2,10,1,70.0,5,1,4,2,1,2
20,3,3,4,4,4,4,4,10,1,51.0,5,2,2,2,1,2
20,4,4,4,4,4,4,3,5,1,63.0,,2,3,2,2,2
20,4,3,3,3,3,3,3,10,3,49.0,,1,4,4,2,2
20,3,2,2,2,3,3,2,9,7,25.0,,2,4,2,1,1
20,3,3,3,3,3,2,3,10,1,66.0,,2,4,3,2,2
20,3,4,4,4,4,4,4,7,6,49.0,,1,4,2,1,2
20,3,3,4,4,4,4,4,10,3,53.0,5,2,3,1,1,2
20,4,4,4,4,4,4,1,10,1,77.0,3,1,1,1,2,3
20,2,3,3,4,2,3,4,8,5,46.0,6,1,3,2,1,2
20,3,1,1,1,1,2,2,10,5,67.0,6,2,4,2,2,3
20,3,2,2,3,3,2,2,10,6,40.0,6,2,4,3,1,2
20,2,2,2,3,3,1,1,10,5,31.0,7,2,4,1,1,2
20,3,2,2,1,3,2,2,10,6,22.0,5,2,4,1,1,3
20,3,2,2,2,2,3,2,10,3,45.0,5,2,4,2,2,3
20,3,2,2,3,4,3,4,10,7,33.0,7,2,4,1,1,1
20,3,1,3,2,3,2,2,10,3,55.0,5,2,4,1,1,2
20,4,2,2,3,3,3,2,10,4,62.0,5,2,4,2,1,3
20,2,2,2,3,3,3,2,8,3,41.0,6,2,4,1,1,2
20,3,2,2,2,3,3,1,10,5,27.0,6,1,4,1,1,3
20,2,2,3,3,3,3,3,5,6,24.0,5,2,3,4,3,3
20,2,2,,,,2,2,9,8,67.0,6,1,4,3,1,1
20,2,2,2,1,3,2,2,10,3,41.0,6,2,4,2,2,3
20,3,1,2,3,2,3,1,10,6,24.0,7,1,4,1,1,3
20,2,1,1,1,2,2,2,10,3,46.0,7,2,4,1,1,3
20,2,1,2,3,3,3,3,8,3,37.0,5,1,4,4,1,2
20,4,1,1,1,4,1,1,10,2,52.0,6,1,4,1,2,1
20,3,1,1,3,4,2,4,6,1,51.0,6,1,4,1,1,1
20,3,2,4,4,4,4,3,10,3,24.0,6,2,4,1,1,1
20,2,4,4,4,4,4,4,10,2,26.0,2,2,4,1,1,2
20,2,1,1,1,3,2,2,10,5,21.0,5,2,4,2,3,3
20,2,2,2,1,4,3,2,10,3,44.0,7,2,4,3,2,2
20,3,3,2,2,2,3,2,10,4,28.0,5,1,4,2,1,3
20,4,1,2,2,2,2,2,10,1,70.0,7,2,4,4,2,2
20,2,1,1,1,3,1,1,10,4,49.0,4,1,4,2,2,2
20,3,2,3,2,2,1,2,9,1,59.0,7,1,2,3,1,1
20,4,2,2,3,3,2,3,10,2,37.0,7,1,4,2,1,1
20,3,1,2,3,4,4,2,10,5,18.0,4,2,4,4,2,2
20,4,3,3,3,3,3,3,10,2,62.0,,1,1,1,3,3
20,2,2,2,2,4,2,2,10,1,49.0,4,2,2,3,2,2
20,2,4,2,3,4,3,2,9,2,61.0,6,2,1,3,3,3
20,3,3,3,4,3,2,2,10,6,58.0,6,1,3,3,2,2
20,3,3,3,3,3,3,2,10,6,42.0,,1,2,2,3,3
20,3,4,4,3,3,2,2,9,2,47.0,5,2,1,3,2,3
20,3,3,3,2,3,3,3,8,6,57.0,,1,4,4,3,3
20,3,2,2,2,4,2,4,10,5,41.0,6,2,4,2,2,2
20,3,2,3,4,4,3,4,9,2,47.0,3,1,3,3,2,2
20,3,2,2,2,2,2,3,7,2,37.0,4,1,3,3,1,3
20,3,1,1,3,4,3,4,8,5,41.0,6,1,4,2,1,1
20,3,2,,,,2,,10,7,28.0,8,1,4,4,,
20,2,2,2,2,3,2,3,8,1,54.0,6,2,3,2,3,3
20,3,4,4,2,,2,2,10,6,40.0,6,2,3,2,1,3
20,3,2,3,3,3,2,,9,1,68.0,4,2,4,2,1,3
20,4,2,2,3,4,3,3,9,5,33.0,4,1,2,2,1,1
20,3,2,2,3,3,2,3,9,1,52.0,3,1,3,2,2,3
20,4,2,3,4,4,3,4,8,6,57.0,5,2,4,3,1,1
20,2,2,2,2,2,2,2,9,7,58.0,5,2,4,4,1,2
20,2,2,2,1,3,2,2,9,6,20.0,,1,4,3,2,3
20,2,2,,2,,2,2,8,6,32.0,,2,3,2,1,3
20,2,2,2,2,2,2,2,10,6,73.0,,1,4,4,1,2
20,3,3,3,3,3,3,3,10,4,40.0,6,2,3,3,3,3
20,4,2,2,2,3,2,2,10,6,58.0,,2,4,4,1,1
20,2,2,2,2,2,2,2,10,6,48.0,8,1,3,2,1,2
20,3,2,2,2,3,2,2,10,7,48.0,5,1,4,3,1,2
20,2,2,2,2,3,2,3,7,2,65.0,4,2,4,,1,1
20,2,2,2,2,3,2,2,10,3,40.0,6,1,4,4,1,3
20,3,1,1,1,2,2,2,10,3,67.0,2,1,4,1,3,3
20,3,1,1,3,3,3,3,8,3,48.0,7,1,4,4,1,2
20,3,2,2,2,3,2,2,10,1,86.0,2,2,4,1,3,3
20,3,2,3,3,4,3,3,10,2,55.0,3,2,3,2,1,2
20,3,2,2,3,3,4,2,9,2,58.0,5,2,4,4,1,2
20,2,2,2,2,3,2,2,10,5,80.0,3,2,3,2,2,2
20,2,1,3,3,3,3,1,10,3,52.0,2,1,4,4,2,2
20,3,2,3,3,4,2,2,8,2,54.0,4,2,3,2,3,3
20,4,2,3,3,4,2,2,10,4,62.0,5,2,3,2,1,2
20,3,2,3,4,4,3,3,10,1,34.0,4,2,4,1,2,2
20,3,1,2,4,4,3,2,10,3,53.0,,2,2,1,1,2
20,3,2,2,2,2,2,2,10,6,27.0,,1,4,1,1,2
20,3,2,2,2,3,2,2,10,5,48.0,6,2,4,2,1,2
20,3,3,3,3,4,3,4,9,7,23.0,6,2,3,3,1,1
20,1,1,1,1,1,1,1,10,4,46.0,5,1,4,4,1,2
20,4,2,2,2,3,3,4,9,2,56.0,5,1,3,3,2,3
20,4,2,2,3,3,2,3,8,5,43.0,7,1,4,4,1,1
20,2,1,4,4,4,3,3,8,3,48.0,3,1,4,4,3,3
20,4,2,2,2,2,2,3,8,3,56.0,7,2,3,3,1,1
20,4,4,4,4,4,4,4,7,7,37.0,10,2,4,4,1,1
20,4,1,2,2,2,2,2,8,5,43.0,6,2,3,3,1,2
20,1,2,3,3,4,2,2,10,2,83.0,2,1,4,4,3,3
20,3,1,2,2,2,2,2,9,4,45.0,7,1,3,2,1,3
20,2,1,1,2,3,4,2,8,5,24.0,5,2,4,4,2,2
20,3,1,1,3,3,2,3,10,5,52.0,6,1,3,3,1,3
20,3,2,3,2,3,2,,8,4,27.0,6,2,4,4,1,2
20,1,1,2,2,,,3,10,5,58.0,6,1,4,2,3,3
20,2,2,3,3,3,2,3,7,2,59.0,4,1,3,3,1,3
20,3,2,2,2,3,2,2,7,2,38.0,4,1,4,2,1,3
20,3,2,2,2,4,2,3,9,4,62.0,6,1,4,4,1,1
20,2,2,2,4,4,4,4,8,2,49.0,5,2,4,4,2,1
20,2,2,2,2,4,2,2,6,3,40.0,5,1,4,4,1,3
20,2,2,2,3,3,2,2,10,7,33.0,5,1,4,3,1,1
20,3,2,2,2,2,2,2,7,3,52.0,3,1,4,2,2,3
20,4,2,2,4,4,4,3,7,2,35.0,4,2,3,2,3,3
20,2,2,2,2,2,2,2,8,3,35.0,4,1,3,2,1,2
20,2,1,1,2,2,2,1,9,6,50.0,10,1,3,3,1,2
20,3,2,2,2,2,2,2,7,5,30.0,8,2,2,2,1,1
20,2,2,2,2,2,2,2,8,4,43.0,5,2,4,3,1,1
20,4,2,3,4,4,4,4,9,7,49.0,5,1,4,4,1,2
20,3,2,2,2,2,3,2,8,3,52.0,6,1,3,3,1,1
20,3,2,3,3,3,3,3,7,2,47.0,5,1,3,3,3,2
20,3,2,2,2,2,2,2,7,3,35.0,6,2,4,4,1,3
20,2,1,3,2,2,2,2,8,7,70.0,7,2,4,4,1,3
20,2,2,2,2,2,2,2,7,5,47.0,6,2,4,4,1,1
20,3,2,2,2,2,2,2,8,3,35.0,7,1,3,3,3,3
20,3,2,3,3,3,3,4,7,3,58.0,4,2,3,2,1,2
20,4,1,2,2,3,3,2,10,6,72.0,5,1,4,4,3,1
20,2,2,3,2,3,2,2,10,3,60.0,5,2,4,4,2,3
20,2,1,2,2,3,4,2,8,7,30.0,7,2,3,3,2,1
20,4,1,4,4,2,2,2,10,7,41.0,10,1,4,1,1,1
20,1,1,1,1,1,1,1,7,3,85.0,8,2,3,3,3,3
20,2,3,2,3,3,3,1,10,6,48.0,4,1,4,4,1,2
20,2,2,3,3,3,2,2,7,6,20.0,7,1,4,4,3,3
20,1,2,2,2,2,2,2,9,3,81.0,6,1,4,4,3,3
20,3,2,2,4,4,2,4,10,3,45.0,6,1,4,3,1,2
20,2,1,2,2,2,2,2,8,6,35.0,7,2,4,4,3,3
20,3,3,3,3,3,3,3,5,5,39.0,5,1,3,2,2,2
20,3,2,3,3,3,3,3,7,2,38.0,3,1,2,2,1,3
20,4,3,4,4,4,3,3,9,5,33.0,,1,4,2,1,2
20,3,2,3,3,3,3,3,10,2,37.0,5,2,4,3,1,2
20,3,3,3,3,3,3,3,10,3,50.0,5,1,1,1,1,2
20,3,2,2,3,3,3,3,10,6,58.0,6,2,4,4,1,1
20,4,3,3,4,4,4,4,10,6,55.0,8,1,1,1,1,3
20,3,2,3,3,3,3,2,10,1,57.0,7,2,3,3,1,3
20,3,2,2,2,2,2,3,10,6,74.0,5,2,4,2,1,3
